"","freq","treat","site","year","plot","cover","guild","sumcov","relcov","datacol","species.name"
"55","CL1","RE","Elkhorn",1999,"3",1,"EAF",123,0.00813008130081301,"pt_intercept","Trifolium dubium"
"56","CL1","SD","Elkhorn",1999,"1",3,"EAF",137,0.0218978102189781,"pt_intercept","Trifolium dubium"
"57","CL1","SD","Elkhorn",1999,"2",2,"EAF",112,0.0178571428571429,"pt_intercept","Trifolium dubium"
"58","CL1","SD","Elkhorn",1999,"3",7,"EAF",147,0.0476190476190476,"pt_intercept","Trifolium dubium"
"59","CL2","LL","Elkhorn",1999,"2",4,"EAF",132,0.0303030303030303,"pt_intercept","Trifolium dubium"
"60","CL2","LL","Elkhorn",1999,"3",6,"EAF",163,0.0368098159509202,"pt_intercept","Trifolium dubium"
"61","CL2","RE","Elkhorn",1999,"2",1,"EAF",103,0.00970873786407767,"pt_intercept","Trifolium dubium"
"62","CL2","SD","Elkhorn",1999,"1",5,"EAF",126,0.0396825396825397,"pt_intercept","Trifolium dubium"
"63","CL2","SD","Elkhorn",1999,"2",4,"EAF",115,0.0347826086956522,"pt_intercept","Trifolium dubium"
"64","CL3","LL","Elkhorn",1999,"1",8,"EAF",157,0.0509554140127389,"pt_intercept","Trifolium dubium"
"65","CL3","LL","Elkhorn",1999,"3",4,"EAF",132,0.0303030303030303,"pt_intercept","Trifolium dubium"
"66","CL3","RE","Elkhorn",1999,"1",5,"EAF",152,0.0328947368421053,"pt_intercept","Trifolium dubium"
"67","CL3","RE","Elkhorn",1999,"2",3,"EAF",101,0.0297029702970297,"pt_intercept","Trifolium dubium"
"68","Control","no","Elkhorn",1999,"2",3,"EAF",155,0.0193548387096774,"pt_intercept","Trifolium dubium"
"69","Control","no","Elkhorn",1999,"3",10,"EAF",150,0.0666666666666667,"pt_intercept","Trifolium dubium"
"70","CL1","LL","Elkhorn",1999,"2",1,"EAF",119,0.00840336134453781,"pt_intercept","Trifolium subterraneum"
"71","CL1","LL","Elkhorn",1999,"3",3,"EAF",125,0.024,"pt_intercept","Trifolium subterraneum"
"72","CL1","RE","Elkhorn",1999,"3",3,"EAF",123,0.024390243902439,"pt_intercept","Trifolium subterraneum"
"73","CL1","SD","Elkhorn",1999,"1",1,"EAF",137,0.0072992700729927,"pt_intercept","Trifolium subterraneum"
"74","CL1","SD","Elkhorn",1999,"3",5,"EAF",147,0.0340136054421769,"pt_intercept","Trifolium subterraneum"
"75","CL2","LL","Elkhorn",1999,"1",3,"EAF",135,0.0222222222222222,"pt_intercept","Trifolium subterraneum"
"76","CL2","LL","Elkhorn",1999,"2",5,"EAF",132,0.0378787878787879,"pt_intercept","Trifolium subterraneum"
"77","CL2","LL","Elkhorn",1999,"3",6,"EAF",163,0.0368098159509202,"pt_intercept","Trifolium subterraneum"
"78","CL2","SD","Elkhorn",1999,"1",4,"EAF",126,0.0317460317460317,"pt_intercept","Trifolium subterraneum"
"79","CL2","SD","Elkhorn",1999,"2",1,"EAF",115,0.00869565217391304,"pt_intercept","Trifolium subterraneum"
"80","CL3","LL","Elkhorn",1999,"2",1,"EAF",104,0.00961538461538462,"pt_intercept","Trifolium subterraneum"
"81","CL3","LL","Elkhorn",1999,"3",5,"EAF",132,0.0378787878787879,"pt_intercept","Trifolium subterraneum"
"82","CL3","RE","Elkhorn",1999,"1",2,"EAF",152,0.0131578947368421,"pt_intercept","Trifolium subterraneum"
"83","CL3","RE","Elkhorn",1999,"2",3,"EAF",101,0.0297029702970297,"pt_intercept","Trifolium subterraneum"
"84","Control","no","Elkhorn",1999,"2",4,"EAF",155,0.0258064516129032,"pt_intercept","Trifolium subterraneum"
"85","Grazed","no","Elkhorn",1999,"1",2,"EAF",122,0.0163934426229508,"pt_intercept","Trifolium subterraneum"
"86","Grazed","no","Elkhorn",1999,"2",1,"EAF",124,0.00806451612903226,"pt_intercept","Trifolium subterraneum"
"87","Grazed","no","Elkhorn",1999,"3",5,"EAF",125,0.04,"pt_intercept","Trifolium subterraneum"
"88","CL2","LL","Elkhorn",1999,"3",4,"EAF",163,0.0245398773006135,"pt_intercept","Vicia spp"
"89","CL1","LL","Elkhorn",1999,"2",1,"EPF",119,0.00840336134453781,"pt_intercept","Hypochaeris radicata"
"90","CL1","LL","Elkhorn",1999,"3",2,"EPF",125,0.016,"pt_intercept","Hypochaeris radicata"
"91","CL1","RE","Elkhorn",1999,"2",10,"EPF",133,0.075187969924812,"pt_intercept","Hypochaeris radicata"
"92","CL1","RE","Elkhorn",1999,"3",4,"EPF",123,0.032520325203252,"pt_intercept","Hypochaeris radicata"
"93","CL1","SD","Elkhorn",1999,"1",3,"EPF",137,0.0218978102189781,"pt_intercept","Hypochaeris radicata"
"94","CL1","SD","Elkhorn",1999,"2",5,"EPF",112,0.0446428571428571,"pt_intercept","Hypochaeris radicata"
"95","CL1","SD","Elkhorn",1999,"3",2,"EPF",147,0.0136054421768707,"pt_intercept","Hypochaeris radicata"
"96","CL2","LL","Elkhorn",1999,"1",3,"EPF",135,0.0222222222222222,"pt_intercept","Hypochaeris radicata"
"97","CL2","LL","Elkhorn",1999,"2",2,"EPF",132,0.0151515151515152,"pt_intercept","Hypochaeris radicata"
"98","CL2","RE","Elkhorn",1999,"1",10,"EPF",121,0.0826446280991736,"pt_intercept","Hypochaeris radicata"
"99","CL2","RE","Elkhorn",1999,"2",1,"EPF",103,0.00970873786407767,"pt_intercept","Hypochaeris radicata"
"100","CL2","RE","Elkhorn",1999,"3",2,"EPF",123,0.016260162601626,"pt_intercept","Hypochaeris radicata"
"101","CL3","LL","Elkhorn",1999,"1",1,"EPF",157,0.00636942675159236,"pt_intercept","Hypochaeris radicata"
"102","CL3","LL","Elkhorn",1999,"3",3,"EPF",132,0.0227272727272727,"pt_intercept","Hypochaeris radicata"
"103","Control","no","Elkhorn",1999,"1",3,"EPF",134,0.0223880597014925,"pt_intercept","Hypochaeris radicata"
"104","Control","no","Elkhorn",1999,"2",1,"EPF",155,0.00645161290322581,"pt_intercept","Hypochaeris radicata"
"105","Control","no","Elkhorn",1999,"3",1,"EPF",150,0.00666666666666667,"pt_intercept","Hypochaeris radicata"
"106","Grazed","no","Elkhorn",1999,"1",3,"EPF",122,0.0245901639344262,"pt_intercept","Hypochaeris radicata"
"107","CL1","LL","Elkhorn",1999,"1",1,"EPF",121,0.00826446280991736,"pt_intercept","Plantago lanceolata"
"108","CL1","LL","Elkhorn",1999,"2",5,"EPF",119,0.0420168067226891,"pt_intercept","Plantago lanceolata"
"109","CL1","LL","Elkhorn",1999,"3",5,"EPF",125,0.04,"pt_intercept","Plantago lanceolata"
"110","CL1","RE","Elkhorn",1999,"2",1,"EPF",133,0.0075187969924812,"pt_intercept","Plantago lanceolata"
"111","CL1","RE","Elkhorn",1999,"3",4,"EPF",123,0.032520325203252,"pt_intercept","Plantago lanceolata"
"112","CL1","SD","Elkhorn",1999,"1",4,"EPF",137,0.0291970802919708,"pt_intercept","Plantago lanceolata"
"113","CL1","SD","Elkhorn",1999,"2",12,"EPF",112,0.107142857142857,"pt_intercept","Plantago lanceolata"
"114","CL1","SD","Elkhorn",1999,"3",6,"EPF",147,0.0408163265306122,"pt_intercept","Plantago lanceolata"
"115","CL2","LL","Elkhorn",1999,"1",2,"EPF",135,0.0148148148148148,"pt_intercept","Plantago lanceolata"
"116","CL2","LL","Elkhorn",1999,"2",3,"EPF",132,0.0227272727272727,"pt_intercept","Plantago lanceolata"
"117","CL2","LL","Elkhorn",1999,"3",11,"EPF",163,0.0674846625766871,"pt_intercept","Plantago lanceolata"
"118","CL2","RE","Elkhorn",1999,"1",3,"EPF",121,0.0247933884297521,"pt_intercept","Plantago lanceolata"
"119","CL2","RE","Elkhorn",1999,"2",3,"EPF",103,0.029126213592233,"pt_intercept","Plantago lanceolata"
"120","CL2","RE","Elkhorn",1999,"3",9,"EPF",123,0.0731707317073171,"pt_intercept","Plantago lanceolata"
"121","CL2","SD","Elkhorn",1999,"1",7,"EPF",126,0.0555555555555556,"pt_intercept","Plantago lanceolata"
"122","CL2","SD","Elkhorn",1999,"2",5,"EPF",115,0.0434782608695652,"pt_intercept","Plantago lanceolata"
"123","CL3","LL","Elkhorn",1999,"1",5,"EPF",157,0.0318471337579618,"pt_intercept","Plantago lanceolata"
"124","CL3","LL","Elkhorn",1999,"2",2,"EPF",104,0.0192307692307692,"pt_intercept","Plantago lanceolata"
"125","CL3","LL","Elkhorn",1999,"3",5,"EPF",132,0.0378787878787879,"pt_intercept","Plantago lanceolata"
"126","CL3","RE","Elkhorn",1999,"1",12,"EPF",152,0.0789473684210526,"pt_intercept","Plantago lanceolata"
"127","CL3","RE","Elkhorn",1999,"2",17,"EPF",101,0.168316831683168,"pt_intercept","Plantago lanceolata"
"128","CL3","SD","Elkhorn",1999,"2",4,"EPF",113,0.0353982300884956,"pt_intercept","Plantago lanceolata"
"129","CL3","SD","Elkhorn",1999,"3",6,"EPF",119,0.0504201680672269,"pt_intercept","Plantago lanceolata"
"130","Control","no","Elkhorn",1999,"1",8,"EPF",134,0.0597014925373134,"pt_intercept","Plantago lanceolata"
"131","Control","no","Elkhorn",1999,"2",3,"EPF",155,0.0193548387096774,"pt_intercept","Plantago lanceolata"
"132","Control","no","Elkhorn",1999,"3",17,"EPF",150,0.113333333333333,"pt_intercept","Plantago lanceolata"
"133","Grazed","no","Elkhorn",1999,"1",8,"EPF",122,0.0655737704918033,"pt_intercept","Plantago lanceolata"
"134","Grazed","no","Elkhorn",1999,"2",3,"EPF",124,0.0241935483870968,"pt_intercept","Plantago lanceolata"
"135","Grazed","no","Elkhorn",1999,"3",6,"EPF",125,0.048,"pt_intercept","Plantago lanceolata"
"136","CL1","LL","Elkhorn",1999,"1",1,"EPF",121,0.00826446280991736,"pt_intercept","Rumex acetosella"
"137","CL1","RE","Elkhorn",1999,"1",10,"EPF",127,0.078740157480315,"pt_intercept","Rumex acetosella"
"138","CL1","SD","Elkhorn",1999,"1",1,"EPF",137,0.0072992700729927,"pt_intercept","Rumex acetosella"
"139","CL2","LL","Elkhorn",1999,"1",1,"EPF",135,0.00740740740740741,"pt_intercept","Rumex acetosella"
"140","CL2","RE","Elkhorn",1999,"1",5,"EPF",121,0.0413223140495868,"pt_intercept","Rumex acetosella"
"141","CL3","RE","Elkhorn",1999,"1",2,"EPF",152,0.0131578947368421,"pt_intercept","Rumex acetosella"
"142","CL3","SD","Elkhorn",1999,"1",5,"EPF",126,0.0396825396825397,"pt_intercept","Rumex acetosella"
"143","CL3","SD","Elkhorn",1999,"2",1,"EPF",113,0.00884955752212389,"pt_intercept","Rumex acetosella"
"144","CL3","SD","Elkhorn",1999,"3",2,"EPF",119,0.0168067226890756,"pt_intercept","Rumex acetosella"
"145","Control","no","Elkhorn",1999,"1",1,"EPF",134,0.00746268656716418,"pt_intercept","Rumex acetosella"
"146","Grazed","no","Elkhorn",1999,"1",1,"EPF",122,0.00819672131147541,"pt_intercept","Rumex acetosella"
"147","CL2","LL","Elkhorn",1999,"2",1,"EPF",132,0.00757575757575758,"pt_intercept","Rumex spp"
"148","CL1","LL","Elkhorn",1999,"2",1,"NAF",119,0.00840336134453781,"pt_intercept","Madia sativa"
"149","CL1","RE","Elkhorn",1999,"2",3,"NAF",133,0.0225563909774436,"pt_intercept","Madia sativa"
"150","CL1","SD","Elkhorn",1999,"1",1,"NAF",137,0.0072992700729927,"pt_intercept","Madia sativa"
"151","CL1","SD","Elkhorn",1999,"2",1,"NAF",112,0.00892857142857143,"pt_intercept","Madia sativa"
"152","CL2","LL","Elkhorn",1999,"1",10,"NAF",135,0.0740740740740741,"pt_intercept","Madia sativa"
"153","CL2","LL","Elkhorn",1999,"3",2,"NAF",163,0.0122699386503067,"pt_intercept","Madia sativa"
"154","CL2","SD","Elkhorn",1999,"1",9,"NAF",126,0.0714285714285714,"pt_intercept","Madia sativa"
"155","CL2","SD","Elkhorn",1999,"2",10,"NAF",115,0.0869565217391304,"pt_intercept","Madia sativa"
"156","CL3","LL","Elkhorn",1999,"1",4,"NAF",157,0.0254777070063694,"pt_intercept","Madia sativa"
"157","CL3","LL","Elkhorn",1999,"2",6,"NAF",104,0.0576923076923077,"pt_intercept","Madia sativa"
"158","CL3","LL","Elkhorn",1999,"3",6,"NAF",132,0.0454545454545455,"pt_intercept","Madia sativa"
"159","CL3","RE","Elkhorn",1999,"1",14,"NAF",152,0.0921052631578947,"pt_intercept","Madia sativa"
"160","CL3","RE","Elkhorn",1999,"2",5,"NAF",101,0.0495049504950495,"pt_intercept","Madia sativa"
"161","CL1","LL","Elkhorn",1999,"1",1,"NPF",121,0.00826446280991736,"pt_intercept","Taraxia ovata"
"162","CL1","LL","Elkhorn",1999,"2",1,"NPF",119,0.00840336134453781,"pt_intercept","Taraxia ovata"
"163","CL1","LL","Elkhorn",1999,"3",3,"NPF",125,0.024,"pt_intercept","Taraxia ovata"
"164","CL1","SD","Elkhorn",1999,"1",1,"NPF",137,0.0072992700729927,"pt_intercept","Taraxia ovata"
"165","CL2","LL","Elkhorn",1999,"1",1,"NPF",135,0.00740740740740741,"pt_intercept","Taraxia ovata"
"166","CL2","LL","Elkhorn",1999,"2",1,"NPF",132,0.00757575757575758,"pt_intercept","Taraxia ovata"
"167","CL2","LL","Elkhorn",1999,"3",1,"NPF",163,0.00613496932515337,"pt_intercept","Taraxia ovata"
"168","CL2","RE","Elkhorn",1999,"3",2,"NPF",123,0.016260162601626,"pt_intercept","Taraxia ovata"
"169","CL2","SD","Elkhorn",1999,"1",1,"NPF",126,0.00793650793650794,"pt_intercept","Taraxia ovata"
"170","CL3","LL","Elkhorn",1999,"1",4,"NPF",157,0.0254777070063694,"pt_intercept","Taraxia ovata"
"171","Control","no","Elkhorn",1999,"3",1,"NPF",150,0.00666666666666667,"pt_intercept","Taraxia ovata"
"172","Control","no","Elkhorn",1999,"3",8,"EAG",150,0.0533333333333333,"pt_intercept","Aira caryophyllea"
"173","CL1","LL","Elkhorn",1999,"2",5,"EAG",119,0.0420168067226891,"pt_intercept","Bromus diandrus"
"174","CL1","LL","Elkhorn",1999,"3",10,"EAG",125,0.08,"pt_intercept","Bromus diandrus"
"175","CL1","RE","Elkhorn",1999,"1",16,"EAG",127,0.125984251968504,"pt_intercept","Bromus diandrus"
"176","CL1","RE","Elkhorn",1999,"2",5,"EAG",133,0.037593984962406,"pt_intercept","Bromus diandrus"
"177","CL1","RE","Elkhorn",1999,"3",45,"EAG",123,0.365853658536585,"pt_intercept","Bromus diandrus"
"178","CL1","SD","Elkhorn",1999,"2",9,"EAG",112,0.0803571428571429,"pt_intercept","Bromus diandrus"
"179","CL2","LL","Elkhorn",1999,"2",14,"EAG",132,0.106060606060606,"pt_intercept","Bromus diandrus"
"180","CL2","LL","Elkhorn",1999,"3",1,"EAG",163,0.00613496932515337,"pt_intercept","Bromus diandrus"
"181","CL2","RE","Elkhorn",1999,"2",14,"EAG",103,0.135922330097087,"pt_intercept","Bromus diandrus"
"182","CL2","SD","Elkhorn",1999,"1",14,"EAG",126,0.111111111111111,"pt_intercept","Bromus diandrus"
"183","CL3","LL","Elkhorn",1999,"2",8,"EAG",104,0.0769230769230769,"pt_intercept","Bromus diandrus"
"184","CL1","LL","Elkhorn",1999,"1",7,"EAG",121,0.0578512396694215,"pt_intercept","Bromus hordeaceus"
"185","CL1","SD","Elkhorn",1999,"1",8,"EAG",137,0.0583941605839416,"pt_intercept","Bromus hordeaceus"
"186","CL1","SD","Elkhorn",1999,"3",3,"EAG",147,0.0204081632653061,"pt_intercept","Bromus hordeaceus"
"187","CL2","LL","Elkhorn",1999,"1",10,"EAG",135,0.0740740740740741,"pt_intercept","Bromus hordeaceus"
"188","CL3","LL","Elkhorn",1999,"3",7,"EAG",132,0.053030303030303,"pt_intercept","Bromus hordeaceus"
"189","CL3","SD","Elkhorn",1999,"1",30,"EAG",126,0.238095238095238,"pt_intercept","Bromus hordeaceus"
"190","CL3","SD","Elkhorn",1999,"3",39,"EAG",119,0.327731092436975,"pt_intercept","Bromus hordeaceus"
"191","Control","no","Elkhorn",1999,"1",6,"EAG",134,0.0447761194029851,"pt_intercept","Bromus hordeaceus"
"192","Control","no","Elkhorn",1999,"2",12,"EAG",155,0.0774193548387097,"pt_intercept","Bromus hordeaceus"
"193","CL2","RE","Elkhorn",1999,"1",28,"EAG",121,0.231404958677686,"pt_intercept","Bromus sp"
"194","CL2","RE","Elkhorn",1999,"3",23,"EAG",123,0.186991869918699,"pt_intercept","Bromus sp"
"195","CL2","SD","Elkhorn",1999,"2",1,"EAG",115,0.00869565217391304,"pt_intercept","Bromus sp"
"196","CL3","LL","Elkhorn",1999,"1",3,"EAG",157,0.0191082802547771,"pt_intercept","Bromus sp"
"197","CL3","RE","Elkhorn",1999,"2",9,"EAG",101,0.0891089108910891,"pt_intercept","Bromus sp"
"198","CL3","SD","Elkhorn",1999,"2",10,"EAG",113,0.0884955752212389,"pt_intercept","Bromus sp"
"199","Control","no","Elkhorn",1999,"3",10,"EAG",150,0.0666666666666667,"pt_intercept","Bromus sp"
"200","Grazed","no","Elkhorn",1999,"1",20,"EAG",122,0.163934426229508,"pt_intercept","Bromus sp"
"201","Grazed","no","Elkhorn",1999,"2",27,"EAG",124,0.217741935483871,"pt_intercept","Bromus sp"
"202","Grazed","no","Elkhorn",1999,"3",16,"EAG",125,0.128,"pt_intercept","Bromus sp"
"203","CL1","LL","Elkhorn",1999,"1",41,"EAG",121,0.338842975206612,"pt_intercept","Festuca perennis"
"204","CL1","LL","Elkhorn",1999,"2",17,"EAG",119,0.142857142857143,"pt_intercept","Festuca perennis"
"205","CL1","LL","Elkhorn",1999,"3",6,"EAG",125,0.048,"pt_intercept","Festuca perennis"
"206","CL1","RE","Elkhorn",1999,"1",2,"EAG",127,0.015748031496063,"pt_intercept","Festuca perennis"
"207","CL1","RE","Elkhorn",1999,"2",25,"EAG",133,0.18796992481203,"pt_intercept","Festuca perennis"
"208","CL1","RE","Elkhorn",1999,"3",14,"EAG",123,0.113821138211382,"pt_intercept","Festuca perennis"
"209","CL1","SD","Elkhorn",1999,"1",37,"EAG",137,0.27007299270073,"pt_intercept","Festuca perennis"
"210","CL1","SD","Elkhorn",1999,"2",20,"EAG",112,0.178571428571429,"pt_intercept","Festuca perennis"
"211","CL1","SD","Elkhorn",1999,"3",16,"EAG",147,0.108843537414966,"pt_intercept","Festuca perennis"
"212","CL2","LL","Elkhorn",1999,"1",30,"EAG",135,0.222222222222222,"pt_intercept","Festuca perennis"
"213","CL2","LL","Elkhorn",1999,"2",26,"EAG",132,0.196969696969697,"pt_intercept","Festuca perennis"
"214","CL2","LL","Elkhorn",1999,"3",35,"EAG",163,0.214723926380368,"pt_intercept","Festuca perennis"
"215","CL2","RE","Elkhorn",1999,"2",10,"EAG",103,0.0970873786407767,"pt_intercept","Festuca perennis"
"216","CL2","RE","Elkhorn",1999,"3",20,"EAG",123,0.16260162601626,"pt_intercept","Festuca perennis"
"217","CL2","SD","Elkhorn",1999,"1",28,"EAG",126,0.222222222222222,"pt_intercept","Festuca perennis"
"218","CL2","SD","Elkhorn",1999,"2",28,"EAG",115,0.243478260869565,"pt_intercept","Festuca perennis"
"219","CL3","LL","Elkhorn",1999,"1",11,"EAG",157,0.0700636942675159,"pt_intercept","Festuca perennis"
"220","CL3","LL","Elkhorn",1999,"2",23,"EAG",104,0.221153846153846,"pt_intercept","Festuca perennis"
"221","CL3","LL","Elkhorn",1999,"3",28,"EAG",132,0.212121212121212,"pt_intercept","Festuca perennis"
"222","CL3","RE","Elkhorn",1999,"1",57,"EAG",152,0.375,"pt_intercept","Festuca perennis"
"223","CL3","RE","Elkhorn",1999,"2",8,"EAG",101,0.0792079207920792,"pt_intercept","Festuca perennis"
"224","CL3","SD","Elkhorn",1999,"1",50,"EAG",126,0.396825396825397,"pt_intercept","Festuca perennis"
"225","CL3","SD","Elkhorn",1999,"2",27,"EAG",113,0.238938053097345,"pt_intercept","Festuca perennis"
"226","CL3","SD","Elkhorn",1999,"3",19,"EAG",119,0.159663865546218,"pt_intercept","Festuca perennis"
"227","Control","no","Elkhorn",1999,"1",44,"EAG",134,0.328358208955224,"pt_intercept","Festuca perennis"
"228","Control","no","Elkhorn",1999,"2",48,"EAG",155,0.309677419354839,"pt_intercept","Festuca perennis"
"229","Control","no","Elkhorn",1999,"3",16,"EAG",150,0.106666666666667,"pt_intercept","Festuca perennis"
"230","Grazed","no","Elkhorn",1999,"1",26,"EAG",122,0.213114754098361,"pt_intercept","Festuca perennis"
"231","Grazed","no","Elkhorn",1999,"2",40,"EAG",124,0.32258064516129,"pt_intercept","Festuca perennis"
"232","Grazed","no","Elkhorn",1999,"3",13,"EAG",125,0.104,"pt_intercept","Festuca perennis"
"233","CL1","LL","Elkhorn",1999,"1",53,"EAG",121,0.43801652892562,"pt_intercept","Vulpia myuros"
"234","CL1","LL","Elkhorn",1999,"2",75,"EAG",119,0.630252100840336,"pt_intercept","Vulpia myuros"
"235","CL1","LL","Elkhorn",1999,"3",81,"EAG",125,0.648,"pt_intercept","Vulpia myuros"
"236","CL1","RE","Elkhorn",1999,"1",81,"EAG",127,0.637795275590551,"pt_intercept","Vulpia myuros"
"237","CL1","RE","Elkhorn",1999,"2",74,"EAG",133,0.556390977443609,"pt_intercept","Vulpia myuros"
"238","CL1","RE","Elkhorn",1999,"3",37,"EAG",123,0.300813008130081,"pt_intercept","Vulpia myuros"
