"","site","year","plot","cover","guild","sumcov","relcov","datacol","species.name","meanp","meanT"
"1","UCSC",1999,"1",5,"EAF",148,0.03378378,"pt_intercept","Erodium botrys",564.372064276885,15.2334363411619
"2","UCSC",1999,"1",5,"EAF",148,0.03378378,"pt_intercept","Geranium dissectum",665.910390848427,14.472068636797
"3","UCSC",1999,"1",25,"EAG",148,0.1689189,"pt_intercept","Bromus hordeaceus",560.920892494929,15.0156862745098
"4","UCSC",1999,"1",50,"EAG",148,0.3378378,"pt_intercept","Vulpia myuros",569.9375,15.07890625
"5","UCSC",1999,"1",2,"EAG",148,0.01351351,"pt_intercept","Festuca perennis",439.223350253807,15.6517766497462
"6","UCSC",1999,"1",1,"EPF",148,0.006756757,"pt_intercept","Hypochaeris radicata",786.241477272727,13.9678977272727
"7","UCSC",1999,"1",36,"EPF",148,0.2432432,"pt_intercept","Plantago lanceolata",675.426804123711,14.2685773195876
"8","UCSC",1999,"1",2,"EPF",148,0.01351351,"pt_intercept","Rumex acetosella",840.902636916836,12.4764705882353
"9","UCSC",1999,"1",22,"NPF",148,0.1486486,"pt_intercept","Eschscholzia californica",580.352532391048,14.909210836278
"10","UCSC",2000,"1",2,"EAF",111,0.01801802,"pt_intercept","Erodium botrys",564.372064276885,15.2334363411619
"11","UCSC",2000,"1",2,"EAF",111,0.01801802,"pt_intercept","Erodium moschatum",444.970307529162,15.9901378579003
"12","UCSC",2000,"1",2,"EAF",111,0.01801802,"pt_intercept","Geranium dissectum",665.910390848427,14.472068636797
"13","UCSC",2000,"1",1,"EAF",111,0.009009009,"pt_intercept","Lysimachia arvensis",563.950011158224,15.2182102209328
"14","UCSC",2000,"1",6,"EAG",111,0.05405405,"pt_intercept","Bromus diandrus",498.078320090806,15.4570942111237
"15","UCSC",2000,"1",27,"EAG",111,0.2432432,"pt_intercept","Bromus hordeaceus",560.920892494929,15.0156862745098
"16","UCSC",2000,"1",9,"EAG",111,0.08108108,"pt_intercept","Vulpia myuros",569.9375,15.07890625
"17","UCSC",2000,"1",4,"EAG",111,0.03603604,"pt_intercept","Festuca perennis",439.223350253807,15.6517766497462
"18","UCSC",2000,"1",31,"EPF",111,0.2792793,"pt_intercept","Plantago lanceolata",675.426804123711,14.2685773195876
"19","UCSC",2000,"1",4,"EPF",111,0.03603604,"pt_intercept","Rumex acetosella",840.902636916836,12.4764705882353
"20","UCSC",2000,"1",23,"NPF",111,0.2072072,"pt_intercept","Eschscholzia californica",580.352532391048,14.909210836278
"21","UCSC",2001,"1",1,"EAF",126,0.007936508,"pt_intercept","Erodium botrys",564.372064276885,15.2334363411619
"22","UCSC",2001,"1",3,"EAF",126,0.02380952,"pt_intercept","Geranium dissectum",665.910390848427,14.472068636797
"23","UCSC",2001,"1",49,"EAG",126,0.3888889,"pt_intercept","Brachypodium distachyon",506.828431372549,15.8725490196078
"24","UCSC",2001,"1",3,"EAG",126,0.02380952,"pt_intercept","Bromus diandrus",498.078320090806,15.4570942111237
"25","UCSC",2001,"1",3,"EAG",126,0.02380952,"pt_intercept","Vulpia myuros",569.9375,15.07890625
"26","UCSC",2001,"1",8,"EAG",126,0.06349206,"pt_intercept","Festuca perennis",439.223350253807,15.6517766497462
"27","UCSC",2001,"1",33,"EPF",126,0.2619048,"pt_intercept","Plantago lanceolata",675.426804123711,14.2685773195876
"28","UCSC",2001,"1",1,"EPF",126,0.007936508,"pt_intercept","Rumex acetosella",840.902636916836,12.4764705882353
"29","UCSC",2001,"1",25,"NPF",126,0.1984127,"pt_intercept","Eschscholzia californica",580.352532391048,14.909210836278
"30","UCSC",2002,"1",6,"EAF",186,0.03225806,"pt_intercept","Erodium botrys",564.372064276885,15.2334363411619
"31","UCSC",2002,"1",2,"EAF",186,0.01075269,"pt_intercept","Erodium moschatum",444.970307529162,15.9901378579003
"32","UCSC",2002,"1",26,"EAF",186,0.1397849,"pt_intercept","Geranium dissectum",665.910390848427,14.472068636797
"33","UCSC",2002,"1",2,"EAF",186,0.01075269,"pt_intercept","Trifolium angustifolium",725.495192307692,13.6552884615385
"34","UCSC",2002,"1",2,"EAF",186,0.01075269,"pt_intercept","Trifolium subterraneum",806.716101694915,14.3432203389831
"35","UCSC",2002,"1",10,"EAG",186,0.05376344,"pt_intercept","Bromus hordeaceus",560.920892494929,15.0156862745098
"36","UCSC",2002,"1",83,"EAG",186,0.4462366,"pt_intercept","Vulpia myuros",569.9375,15.07890625
"37","UCSC",2002,"1",16,"EAG",186,0.08602151,"pt_intercept","Festuca perennis",439.223350253807,15.6517766497462
"38","UCSC",2002,"1",7,"EPF",186,0.03763441,"pt_intercept","Rumex acetosella",840.902636916836,12.4764705882353
"39","UCSC",2002,"1",31,"NPG",186,0.1666667,"pt_intercept","Danthonia californica",988.511682242991,10.9049065420561
"40","UCSC",2002,"1",1,"NPGr",186,0.005376344,"pt_intercept","Juncus occidentalis",928.834285714286,11.4542857142857
"41","UCSC",2003,"1",32,"EAF",118,0.2711864,"pt_intercept","Erodium botrys",564.372064276885,15.2334363411619
"42","UCSC",2003,"1",10,"EAF",118,0.08474576,"pt_intercept","Geranium dissectum",665.910390848427,14.472068636797
"43","UCSC",2003,"1",50,"EAG",118,0.4237288,"pt_intercept","Brachypodium distachyon",506.828431372549,15.8725490196078
"44","UCSC",2003,"1",1,"EAG",118,0.008474576,"pt_intercept","Bromus diandrus",498.078320090806,15.4570942111237
"45","UCSC",2003,"1",1,"EAG",118,0.008474576,"pt_intercept","Vulpia myuros",569.9375,15.07890625
"46","UCSC",2003,"1",1,"EAG",118,0.008474576,"pt_intercept","Festuca perennis",439.223350253807,15.6517766497462
"47","UCSC",2003,"1",22,"EPF",118,0.1864407,"pt_intercept","Plantago lanceolata",675.426804123711,14.2685773195876
"48","UCSC",2003,"1",1,"NPF",118,0.008474576,"pt_intercept","Eschscholzia californica",580.352532391048,14.909210836278
"49","UCSC",2004,"1",6,"EAF",126,0.04761905,"pt_intercept","Erodium botrys",564.372064276885,15.2334363411619
"50","UCSC",2004,"1",8,"EAF",126,0.06349206,"pt_intercept","Geranium dissectum",665.910390848427,14.472068636797
"51","UCSC",2004,"1",1,"EAG",126,0.007936508,"pt_intercept","Aira caryophyllea",811.251063829787,14.0110638297872
"52","UCSC",2004,"1",2,"EAG",126,0.01587302,"pt_intercept","Avena barbata",513.813936249073,15.448628613788
"53","UCSC",2004,"1",40,"EAG",126,0.3174603,"pt_intercept","Brachypodium distachyon",506.828431372549,15.8725490196078
"54","UCSC",2004,"1",10,"EAG",126,0.07936508,"pt_intercept","Bromus diandrus",498.078320090806,15.4570942111237
"55","UCSC",2004,"1",1,"EAG",126,0.007936508,"pt_intercept","Bromus hordeaceus",560.920892494929,15.0156862745098
"56","UCSC",2004,"1",16,"EAG",126,0.1269841,"pt_intercept","Vulpia myuros",569.9375,15.07890625
"57","UCSC",2004,"1",8,"EAG",126,0.06349206,"pt_intercept","Festuca perennis",439.223350253807,15.6517766497462
"58","UCSC",2004,"1",24,"EPF",126,0.1904762,"pt_intercept","Plantago lanceolata",675.426804123711,14.2685773195876
"59","UCSC",2004,"1",1,"EPF",126,0.007936508,"pt_intercept","Rumex acetosella",840.902636916836,12.4764705882353
"60","UCSC",2004,"1",9,"NPF",126,0.07142857,"pt_intercept","Eschscholzia californica",580.352532391048,14.909210836278
"61","UCSC",2005,"1",26,"EAF",121,0.214876,"pt_intercept","Erodium botrys",564.372064276885,15.2334363411619
"62","UCSC",2005,"1",1,"EAF",121,0.008264463,"pt_intercept","Erodium cicutarium",446.619139547711,15.7789299503585
"63","UCSC",2005,"1",4,"EAF",121,0.03305785,"pt_intercept","Geranium dissectum",665.910390848427,14.472068636797
"64","UCSC",2005,"1",66,"EAG",121,0.5454545,"pt_intercept","Brachypodium distachyon",506.828431372549,15.8725490196078
"65","UCSC",2005,"1",1,"EAG",121,0.008264463,"pt_intercept","Bromus diandrus",498.078320090806,15.4570942111237
"66","UCSC",2005,"1",2,"EAG",121,0.01652893,"pt_intercept","Festuca perennis",439.223350253807,15.6517766497462
"67","UCSC",2005,"1",11,"EPF",121,0.09090909,"pt_intercept","Plantago lanceolata",675.426804123711,14.2685773195876
"68","UCSC",2005,"1",10,"NPF",121,0.08264463,"pt_intercept","Eschscholzia californica",580.352532391048,14.909210836278
"69","UCSC",2006,"1",1,"EAF",80,0.0125,"pt_intercept","Erodium botrys",564.372064276885,15.2334363411619
"70","UCSC",2006,"1",7,"EAF",80,0.0875,"pt_intercept","Geranium dissectum",665.910390848427,14.472068636797
"71","UCSC",2006,"1",60,"EAG",80,0.75,"pt_intercept","Brachypodium distachyon",506.828431372549,15.8725490196078
