"","X","site","year","precip","tmean","tmin","tmax"
"1",1,"Angelo",1982,1374.95901656151,13.1796672609117,5.48666668600506,20.8738889694214
"2",2,"Angelo",1983,3698.85703325272,12.6175007820129,6.04016677538554,19.1956667900085
"3",3,"Angelo",1984,2160.10000228882,13.1157505114873,5.94141669074694,20.2917498747508
"4",4,"Angelo",1985,1555.62901163101,12.2781669298808,4.88558320204417,19.6722501913706
"5",5,"Angelo",1986,2547.55099892616,12.8777506351471,5.72291667262713,20.0340835253398
"6",6,"Angelo",1987,1444.84900045395,12.8895841042201,4.99116668353478,20.7895834445953
"7",7,"Angelo",1988,1658.70400431845,12.9501674175262,5.20499983926614,20.6968333721161
"8",8,"Angelo",1989,1777.2949962616,12.2017505963643,4.98283333579699,19.4221668243408
"9",9,"Angelo",1990,1414.41597747803,12.5418338775635,5.04224996703366,20.0425833861033
"10",10,"Angelo",1991,1013.02598524094,12.0709171891212,4.29091666763027,19.8519999186198
"11",11,"Angelo",1992,1332.78000164032,13.5233339071274,5.72283333043257,21.3250834941864
"12",12,"Angelo",1993,2457.86697983742,12.4616672595342,5.58116665482521,19.3432501157125
"13",13,"Angelo",1994,1248.64299535751,12.5289173523585,4.63516659289598,20.4241665204366
"14",14,"Angelo",1995,2928.45200943947,12.2700006564458,5.75266662736734,18.7885833581289
"15",15,"Angelo",1996,2285.82097226381,13.6976672808329,6.11375008026759,21.2829999923706
"16",16,"Angelo",1997,2642.99800682068,12.9825839201609,5.80324996511141,20.1634167830149
"17",17,"Angelo",1998,3000.00102639198,12.372000614802,5.78366662810246,18.9615835348765
"18",18,"Angelo",1999,2338.58804446459,11.5964173078537,4.60741667449474,18.5868334770203
"19",19,"Angelo",2000,1936.70400197606,12.9642506043116,5.8170833637317,20.1127502123515
"20",20,"Angelo",2001,1163.55300998688,12.5392506122589,4.95383328571916,20.1258335908254
"21",21,"Angelo",2002,1996.75703048706,12.9706673224767,5.50216674307982,20.4405832290649
"22",22,"Angelo",2003,2544.01402056194,13.2894171873728,5.83833328882853,20.7419163386027
"23",23,"Angelo",2004,1942.77497291565,13.3189172744751,5.91033325592677,20.72891664505
"24",24,"Angelo",2005,1832.57798099518,12.9482504924138,5.63941665490468,20.2582499980927
"25",25,"Angelo",2006,2945.08899307251,13.0660839478175,5.75883329411348,20.3745833237966
"26",26,"Angelo",2007,1485.80399048328,12.5300838947296,4.89566670854886,20.1655832131704
"27",27,"Angelo",2008,1583.97296801768,12.5080838600794,4.90291659533978,20.1148331165314
"28",28,"Angelo",2009,1502.30600303411,13.0760838588079,5.66958332061768,20.4840830961863
"29",29,"Angelo",2010,2317.5440367125,11.9530839125315,5.42058338721593,18.4872498512268
